seasonID,seasonYear,startDate,endDate,leagueName,leagueType,leagueCountry
76,2016,2016-08-20,2017-05-28,Serie A,League,Italy
77,2017,2017-08-19,2018-05-20,Serie A,League,Italy
78,2018,2018-08-18,2019-05-26,Serie A,League,Italy
79,2019,2019-08-24,2020-08-02,Serie A,League,Italy
80,2020,2020-09-19,2021-05-23,Serie A,League,Italy
81,2021,2021-08-21,2022-05-22,Serie A,League,Italy
82,2022,2022-08-13,2023-06-04,Serie A,League,Italy
83,2010,2010-08-06,2011-05-29,Eredivisie,League,Netherlands
84,2011,2011-08-05,2012-05-20,Eredivisie,League,Netherlands
85,2012,2012-08-10,2013-05-26,Eredivisie,League,Netherlands
86,2013,2013-08-02,2014-05-18,Eredivisie,League,Netherlands
87,2014,2014-08-08,2015-05-31,Eredivisie,League,Netherlands
88,2015,2015-08-08,2016-05-22,Eredivisie,League,Netherlands
89,2016,2016-08-05,2017-05-28,Eredivisie,League,Netherlands
90,2017,2017-08-11,2018-05-19,Eredivisie,League,Netherlands
91,2018,2018-08-10,2019-05-28,Eredivisie,League,Netherlands
92,2019,2019-08-02,2020-05-10,Eredivisie,League,Netherlands
93,2020,2020-09-12,2021-05-23,Eredivisie,League,Netherlands
94,2021,2021-08-13,2022-05-29,Eredivisie,League,Netherlands
95,2022,2022-08-05,2023-05-28,Eredivisie,League,Netherlands
96,2010,2010-08-13,2011-05-14,Primeira Liga,League,Portugal
97,2011,2011-08-12,2012-05-12,Primeira Liga,League,Portugal
98,2012,2012-08-17,2013-05-19,Primeira Liga,League,Portugal
99,2013,2013-08-16,2014-05-11,Primeira Liga,League,Portugal
100,2014,2014-08-15,2015-05-23,Primeira Liga,League,Portugal
101,2015,2015-08-14,2016-05-15,Primeira Liga,League,Portugal
102,2016,2016-08-12,2017-05-21,Primeira Liga,League,Portugal
103,2017,2017-08-06,2018-05-13,Primeira Liga,League,Portugal
104,2018,2018-08-10,2019-05-19,Primeira Liga,League,Portugal
105,2019,2019-08-09,2020-07-26,Primeira Liga,League,Portugal
106,2020,2020-09-18,2021-05-30,Primeira Liga,League,Portugal
107,2021,2021-08-06,2022-05-29,Primeira Liga,League,Portugal
108,2022,2022-08-07,2023-05-28,Primeira Liga,League,Portugal
109,2010,2010-08-28,2011-05-21,La Liga,League,Spain
110,2011,2011-08-27,2012-05-13,La Liga,League,Spain
111,2012,2012-08-18,2013-06-01,La Liga,League,Spain
112,2013,2013-08-17,2014-05-18,La Liga,League,Spain
113,2014,2014-08-23,2015-05-23,La Liga,League,Spain
114,2015,2015-08-21,2016-05-15,La Liga,League,Spain
115,2016,2016-08-19,2017-05-21,La Liga,League,Spain
116,2017,2017-08-18,2018-05-20,La Liga,League,Spain
117,2018,2018-08-17,2019-05-19,La Liga,League,Spain
118,2019,2019-08-16,2020-07-19,La Liga,League,Spain
119,2020,2020-09-12,2021-05-23,La Liga,League,Spain
120,2021,2021-08-13,2022-05-22,La Liga,League,Spain
121,2022,2022-08-12,2023-06-04,La Liga,League,Spain
122,2010,2010-08-14,2011-05-10,Premiership,League,Scotland
123,2011,2011-07-23,2012-05-13,Premiership,League,Scotland
124,2012,2012-08-04,2013-05-19,Premiership,League,Scotland
125,2013,2013-08-02,2014-05-11,Premiership,League,Scotland
126,2014,2014-08-09,2015-05-24,Premiership,League,Scotland
127,2015,2015-08-01,2016-05-15,Premiership,League,Scotland
128,2016,2016-08-06,2017-05-21,Premiership,League,Scotland
129,2017,2017-08-05,2018-05-13,Premiership,League,Scotland
130,2018,2018-08-04,2019-05-19,Premiership,League,Scotland
131,2019,2019-08-03,2020-04-05,Premiership,League,Scotland
132,2020,2020-08-01,2021-05-24,Premiership,League,Scotland
133,2021,2021-07-31,2022-05-23,Premiership,League,Scotland
134,2022,2022-07-30,2023-04-22,Premiership,League,Scotland
135,2010,2010-08-07,2011-04-26,Championship,League,Scotland
136,2011,2011-08-06,2012-05-05,Championship,League,Scotland
137,2012,2012-08-11,2013-05-04,Championship,League,Scotland
138,2013,2013-08-10,2014-05-03,Championship,League,Scotland
139,2014,2014-08-09,2015-05-02,Championship,League,Scotland
140,2015,2015-08-07,2016-05-01,Championship,League,Scotland
141,2016,2016-08-06,2017-05-06,Championship,League,Scotland
142,2017,2017-08-05,2018-04-28,Championship,League,Scotland
143,2018,2018-08-04,2019-05-04,Championship,League,Scotland
144,2019,2019-08-02,2020-05-02,Championship,League,Scotland
145,2020,2020-10-16,2021-04-30,Championship,League,Scotland
146,2021,2021-07-31,2022-05-15,Championship,League,Scotland
147,2022,2022-07-30,2023-05-05,Championship,League,Scotland
148,2010,2010-06-11,2010-07-11,World Cup,Cup,World
149,2014,2014-06-12,2014-07-13,World Cup,Cup,World
150,2018,2018-06-14,2018-07-15,World Cup,Cup,World
151,2010,2010-08-06,2011-05-20,Ligue 2,League,France
152,2011,2011-07-29,2012-05-18,Ligue 2,League,France
153,2012,2012-07-27,2013-05-24,Ligue 2,League,France
154,2013,2013-08-02,2014-05-16,Ligue 2,League,France
155,2014,2014-08-01,2015-05-22,Ligue 2,League,France
156,2015,2015-07-31,2016-05-13,Ligue 2,League,France
157,2016,2016-07-29,2017-05-19,Ligue 2,League,France
158,2017,2017-07-28,2018-05-20,Ligue 2,League,France
159,2018,2018-07-27,2019-05-17,Ligue 2,League,France
160,2019,2019-07-26,2020-05-15,Ligue 2,League,France
161,2020,2020-08-22,2021-05-22,Ligue 2,League,France
162,2021,2021-07-24,2022-05-29,Ligue 2,League,France
163,2022,2022-07-30,2023-06-02,Ligue 2,League,France
164,2011,2011-06-28,2012-05-19,UEFA Champions League,Cup,World
165,2012,2012-07-03,2013-05-25,UEFA Champions League,Cup,World
166,2013,2013-07-02,2014-05-24,UEFA Champions League,Cup,World
167,2014,2014-07-01,2015-06-06,UEFA Champions League,Cup,World
168,2015,2015-06-30,2016-05-28,UEFA Champions League,Cup,World
169,2016,2016-06-28,2017-06-03,UEFA Champions League,Cup,World
170,2017,2017-06-27,2018-05-26,UEFA Champions League,Cup,World
171,2018,2018-06-26,2019-06-01,UEFA Champions League,Cup,World
172,2019,2019-06-25,2020-08-23,UEFA Champions League,Cup,World
173,2020,2020-08-08,2021-05-29,UEFA Champions League,Cup,World
174,2021,2021-06-22,2022-05-28,UEFA Champions League,Cup,World
175,2022,2022-06-21,2022-11-02,UEFA Champions League,Cup,World
176,2011,2011-09-10,2012-05-12,1st Division,League,Albania
177,2012,2012-09-01,2013-05-12,1st Division,League,Albania
178,2013,2013-08-31,2014-05-10,1st Division,League,Albania
179,2014,2014-09-27,2015-05-23,1st Division,League,Albania
180,2015,2015-09-12,2016-05-19,1st Division,League,Albania
181,2016,2016-09-24,2017-05-26,1st Division,League,Albania
182,2017,2017-09-16,2018-05-16,1st Division,League,Albania
183,2018,2018-09-08,2019-05-23,1st Division,League,Albania
184,2019,2019-09-14,2020-08-05,1st Division,League,Albania
185,2020,2020-11-04,2021-05-26,1st Division,League,Albania
186,2021,2021-09-11,2022-05-23,1st Division,League,Albania
187,2022,2022-09-03,2023-05-06,1st Division,League,Albania
188,2011,2011-09-10,2012-05-12,Superliga,League,Albania
189,2012,2012-08-24,2013-05-11,Superliga,League,Albania
190,2013,2013-08-31,2014-05-10,Superliga,League,Albania
191,2014,2014-08-23,2015-05-22,Superliga,League,Albania
192,2015,2015-08-21,2016-05-18,Superliga,League,Albania
193,2017,2017-09-09,2018-05-23,Superliga,League,Albania
194,2018,2018-08-17,2019-05-30,Superliga,League,Albania
195,2019,2019-08-23,2020-08-02,Superliga,League,Albania
196,2020,2020-11-04,2021-05-30,Superliga,League,Albania
197,2021,2021-09-10,2022-05-31,Superliga,League,Albania
198,2022,2022-08-19,2023-05-24,Superliga,League,Albania
199,2011,2011-09-06,2012-05-19,Ligue 1,League,Algeria
200,2012,2012-09-07,2013-05-21,Ligue 1,League,Algeria
201,2013,2013-08-24,2014-05-24,Ligue 1,League,Algeria
202,2014,2014-08-15,2015-05-29,Ligue 1,League,Algeria
203,2015,2015-08-13,2016-05-27,Ligue 1,League,Algeria
204,2016,2016-08-19,2017-06-14,Ligue 1,League,Algeria
205,2017,2017-08-25,2018-05-19,Ligue 1,League,Algeria
206,2018,2018-08-10,2019-05-26,Ligue 1,League,Algeria
207,2019,2019-08-15,2020-03-16,Ligue 1,League,Algeria
208,2020,2020-11-27,2021-08-28,Ligue 1,League,Algeria
209,2021,2021-10-22,2022-06-14,Ligue 1,League,Algeria
210,2022,2022-08-26,2022-11-10,Ligue 1,League,Algeria
211,2013,2013-08-23,2014-05-16,Ligue 2,League,Algeria
212,2015,2015-08-14,2016-05-06,Ligue 2,League,Algeria
213,2016,2016-09-09,2017-05-13,Ligue 2,League,Algeria
214,2017,2017-08-25,2018-05-15,Ligue 2,League,Algeria
215,2018,2018-08-10,2019-05-04,Ligue 2,League,Algeria
216,2019,2019-08-23,2020-03-14,Ligue 2,League,Algeria
217,2020,2021-02-12,2021-07-18,Ligue 2,League,Algeria
218,2021,2021-10-26,2022-05-21,Ligue 2,League,Algeria
219,2022,2022-09-23,2022-11-19,Ligue 2,League,Algeria
220,2011,2011-07-15,2012-05-06,Cup,Cup,Ukraine
221,2012,2012-07-24,2013-05-22,Cup,Cup,Ukraine
222,2013,2013-07-24,2014-05-15,Cup,Cup,Ukraine
223,2014,2014-08-06,2015-06-04,Cup,Cup,Ukraine
224,2015,2015-07-22,2016-05-21,Cup,Cup,Ukraine
225,2016,2016-07-20,2017-05-17,Cup,Cup,Ukraine
226,2017,2017-07-09,2018-05-09,Cup,Cup,Ukraine
227,2018,2018-07-17,2019-05-15,Cup,Cup,Ukraine
228,2019,2019-08-20,2020-07-08,Cup,Cup,Ukraine
229,2020,2020-08-26,2021-05-13,Cup,Cup,Ukraine
230,2021,2021-08-04,2022-03-02,Cup,Cup,Ukraine
231,2012,2012-07-14,2012-11-24,Druha Liga - Group A,League,Ukraine
232,2013,2013-07-14,2014-06-11,Druha Liga - Group A,League,Ukraine
233,2014,2014-07-25,2015-06-03,Druha Liga - Group A,League,Ukraine
234,2015,2015-07-26,2016-06-01,Druha Liga - Group A,League,Ukraine
235,2016,2016-07-23,2017-06-02,Druha Liga - Group A,League,Ukraine
236,2017,2017-07-14,2018-06-02,Druha Liga - Group A,League,Ukraine
237,2018,2018-07-22,2019-05-25,Druha Liga - Group A,League,Ukraine
238,2019,2019-07-27,2020-05-22,Druha Liga - Group A,League,Ukraine
239,2020,2020-09-06,2021-06-11,Druha Liga - Group A,League,Ukraine
240,2021,2021-07-24,2022-05-21,Druha Liga - Group A,League,Ukraine
241,2011,2011-07-16,2012-05-30,Persha Liga,League,Ukraine
242,2012,2012-07-13,2013-06-08,Persha Liga,League,Ukraine
243,2013,2013-07-14,2014-05-31,Persha Liga,League,Ukraine
244,2014,2014-07-26,2015-06-03,Persha Liga,League,Ukraine
245,2015,2015-07-26,2016-06-01,Persha Liga,League,Ukraine
246,2016,2016-07-24,2017-06-02,Persha Liga,League,Ukraine
247,2017,2017-07-14,2018-05-19,Persha Liga,League,Ukraine
248,2018,2018-07-20,2019-05-26,Persha Liga,League,Ukraine
249,2019,2019-07-27,2020-08-20,Persha Liga,League,Ukraine
250,2020,2020-09-05,2021-06-12,Persha Liga,League,Ukraine
251,2021,2021-07-24,2022-05-21,Persha Liga,League,Ukraine
252,2022,2022-08-27,2022-11-26,Persha Liga,League,Ukraine
253,2011,2011-07-08,2012-05-10,Premier League,League,Ukraine
254,2012,2012-07-13,2013-05-26,Premier League,League,Ukraine
255,2013,2013-07-12,2014-05-18,Premier League,League,Ukraine
256,2014,2014-07-25,2015-05-31,Premier League,League,Ukraine
257,2015,2015-07-17,2016-05-15,Premier League,League,Ukraine
258,2016,2016-07-22,2017-05-31,Premier League,League,Ukraine
259,2017,2017-07-16,2018-05-20,Premier League,League,Ukraine
260,2018,2018-07-22,2019-05-30,Premier League,League,Ukraine
261,2019,2019-07-28,2020-07-29,Premier League,League,Ukraine
262,2020,2020-08-21,2021-05-15,Premier League,League,Ukraine
263,2021,2021-07-23,2022-05-21,Premier League,League,Ukraine
264,2022,2022-08-23,2023-06-03,Premier League,League,Ukraine
265,2011,2011-10-15,2012-05-27,Pro League,League,United-Arab-Emirates
266,2018,2018-08-30,2019-05-26,Pro League,League,United-Arab-Emirates
267,2012,2012-10-13,2013-07-20,Segunda División,League,Uruguay
268,2013,2013-10-12,2014-07-06,Segunda División,League,Uruguay
269,2014,2014-09-13,2015-06-13,Segunda División,League,Uruguay
270,2015,2015-10-24,2016-06-11,Segunda División,League,Uruguay
271,2016,2016-09-10,2016-12-10,Segunda División,League,Uruguay
272,2017,2017-04-15,2017-12-16,Segunda División,League,Uruguay
273,2018,2018-03-03,2018-10-27,Segunda División,League,Uruguay
274,2019,2019-05-04,2019-12-14,Segunda División,League,Uruguay
275,2020,2020-08-12,2021-01-29,Segunda División,League,Uruguay
276,2021,2021-06-01,2021-12-11,Segunda División,League,Uruguay
277,2022,2022-03-19,2022-10-23,Segunda División,League,Uruguay
278,2011,2011-11-04,2012-10-03,Ligue 1,League,Tunisia
279,2012,2012-11-10,2013-05-29,Ligue 1,League,Tunisia
280,2013,2013-09-15,2014-05-13,Ligue 1,League,Tunisia
281,2014,2014-08-13,2015-06-02,Ligue 1,League,Tunisia
282,2015,2015-09-12,2016-06-12,Ligue 1,League,Tunisia
283,2016,2016-09-08,2017-05-21,Ligue 1,League,Tunisia
284,2017,2017-08-15,2018-05-10,Ligue 1,League,Tunisia
285,2018,2018-08-18,2019-06-15,Ligue 1,League,Tunisia
286,2019,2019-08-24,2020-09-13,Ligue 1,League,Tunisia
287,2020,2020-12-06,2021-05-12,Ligue 1,League,Tunisia
288,2021,2021-10-16,2022-06-30,Ligue 1,League,Tunisia
289,2022,2022-10-07,2022-11-09,Ligue 1,League,Tunisia
290,2011,2011-09-10,2012-05-12,Süper Lig,League,Turkey
291,2012,2012-08-17,2013-05-19,Süper Lig,League,Turkey
292,2013,2013-08-16,2014-05-18,Süper Lig,League,Turkey
293,2014,2014-08-29,2015-05-30,Süper Lig,League,Turkey
294,2015,2015-08-14,2016-05-19,Süper Lig,League,Turkey
295,2016,2016-08-19,2017-06-03,Süper Lig,League,Turkey
296,2017,2017-08-11,2018-05-19,Süper Lig,League,Turkey
297,2018,2018-08-10,2019-05-26,Süper Lig,League,Turkey
298,2019,2019-08-16,2020-07-26,Süper Lig,League,Turkey
299,2020,2020-09-11,2021-05-15,Süper Lig,League,Turkey
300,2021,2021-08-13,2022-05-22,Süper Lig,League,Turkey
301,2022,2022-08-07,2023-05-28,Süper Lig,League,Turkey
302,2011,2011-09-09,2012-05-27,1. Lig,League,Turkey
303,2012,2012-08-25,2013-05-26,1. Lig,League,Turkey
304,2013,2013-08-17,2014-05-18,1. Lig,League,Turkey
305,2014,2014-08-29,2015-06-05,1. Lig,League,Turkey
306,2015,2015-08-14,2016-05-27,1. Lig,League,Turkey
307,2016,2016-08-19,2017-06-04,1. Lig,League,Turkey
308,2017,2017-08-11,2018-05-19,1. Lig,League,Turkey
309,2018,2018-08-10,2019-05-30,1. Lig,League,Turkey
310,2019,2019-08-16,2020-07-30,1. Lig,League,Turkey
311,2020,2020-09-11,2021-05-26,1. Lig,League,Turkey
312,2021,2021-08-13,2022-06-02,1. Lig,League,Turkey
313,2022,2022-08-14,2023-05-14,1. Lig,League,Turkey
314,2011,2011-09-11,2012-05-20,2. Lig,League,Turkey
315,2012,2012-09-09,2013-05-12,2. Lig,League,Turkey
316,2013,2013-09-08,2014-05-11,2. Lig,League,Turkey
317,2014,2014-08-31,2015-05-03,2. Lig,League,Turkey
318,2015,2015-09-05,2016-04-30,2. Lig,League,Turkey
319,2016,2016-09-03,2017-04-29,2. Lig,League,Turkey
320,2017,2017-08-26,2018-05-05,2. Lig,League,Turkey
321,2018,2018-09-01,2019-05-28,2. Lig,League,Turkey
322,2019,2019-05-28,2020-07-28,2. Lig,League,Turkey
323,2020,2020-09-20,2021-05-28,2. Lig,League,Turkey
324,2021,2021-09-05,2022-05-29,2. Lig,League,Turkey
325,2022,2022-08-28,2023-04-29,2. Lig,League,Turkey
326,2011,2011-12-07,2012-05-16,Cup,Cup,Turkey
327,2012,2012-09-19,2013-05-22,Cup,Cup,Turkey
328,2013,2013-09-01,2014-05-07,Cup,Cup,Turkey
329,2014,2014-09-03,2015-06-03,Cup,Cup,Turkey
330,2015,2015-09-02,2016-05-26,Cup,Cup,Turkey
331,2016,2016-08-29,2017-05-31,Cup,Cup,Turkey
332,2017,2017-08-22,2018-05-10,Cup,Cup,Turkey
333,2018,2018-08-28,2019-05-15,Cup,Cup,Turkey
334,2019,2019-08-28,2020-07-29,Cup,Cup,Turkey
335,2020,2020-10-13,2021-05-18,Cup,Cup,Turkey
336,2021,2021-09-07,2022-05-26,Cup,Cup,Turkey
337,2022,2022-09-13,2022-11-09,Cup,Cup,Turkey
338,2011,2011-08-28,2012-05-13,3. Lig - Group 1,League,Turkey
339,2012,2012-09-09,2013-05-05,3. Lig - Group 1,League,Turkey
340,2013,2013-09-01,2014-05-04,3. Lig - Group 1,League,Turkey
341,2014,2014-09-07,2015-05-10,3. Lig - Group 1,League,Turkey
342,2015,2015-08-23,2016-04-30,3. Lig - Group 1,League,Turkey
343,2016,2016-09-03,2017-04-29,3. Lig - Group 1,League,Turkey
344,2017,2017-08-26,2018-05-05,3. Lig - Group 1,League,Turkey
345,2018,2018-09-01,2019-05-04,3. Lig - Group 1,League,Turkey
346,2019,2019-08-31,2020-04-25,3. Lig - Group 1,League,Turkey
347,2020,2020-09-20,2021-05-02,3. Lig - Group 1,League,Turkey
348,2021,2021-09-05,2022-05-01,3. Lig - Group 1,League,Turkey
349,2022,2022-09-04,2023-04-29,3. Lig - Group 1,League,Turkey
350,2011,2011-08-28,2012-05-13,3. Lig - Group 2,League,Turkey
351,2012,2012-09-08,2013-05-05,3. Lig - Group 2,League,Turkey
352,2013,2013-09-01,2014-05-04,3. Lig - Group 2,League,Turkey
353,2014,2014-09-07,2015-05-10,3. Lig - Group 2,League,Turkey
354,2015,2015-08-23,2016-04-30,3. Lig - Group 2,League,Turkey
355,2016,2016-09-03,2017-04-29,3. Lig - Group 2,League,Turkey
356,2017,2017-08-26,2018-05-05,3. Lig - Group 2,League,Turkey
357,2018,2018-09-01,2019-05-04,3. Lig - Group 2,League,Turkey
358,2019,2019-08-31,2020-04-25,3. Lig - Group 2,League,Turkey
359,2020,2020-09-20,2021-05-02,3. Lig - Group 2,League,Turkey
360,2021,2021-09-04,2022-04-30,3. Lig - Group 2,League,Turkey
361,2022,2022-09-04,2023-04-29,3. Lig - Group 2,League,Turkey
362,2011,2011-08-28,2012-05-13,3. Lig - Group 3,League,Turkey
363,2012,2012-09-09,2013-05-05,3. Lig - Group 3,League,Turkey
364,2013,2013-09-01,2014-05-04,3. Lig - Group 3,League,Turkey
365,2014,2014-09-07,2015-05-10,3. Lig - Group 3,League,Turkey
366,2015,2015-08-22,2016-05-01,3. Lig - Group 3,League,Turkey
367,2016,2016-09-03,2017-05-13,3. Lig - Group 3,League,Turkey
368,2017,2017-08-26,2018-05-06,3. Lig - Group 3,League,Turkey
369,2018,2018-09-01,2019-05-04,3. Lig - Group 3,League,Turkey
370,2019,2019-09-01,2020-04-25,3. Lig - Group 3,League,Turkey
371,2020,2020-09-20,2021-05-02,3. Lig - Group 3,League,Turkey
372,2021,2021-09-05,2022-04-30,3. Lig - Group 3,League,Turkey
373,2022,2022-09-04,2023-04-29,3. Lig - Group 3,League,Turkey
374,2011,2011-08-05,2012-05-26,National 1,League,France
375,2012,2012-08-03,2013-05-24,National 1,League,France
376,2013,2013-08-09,2014-05-23,National 1,League,France
377,2014,2014-08-08,2015-05-22,National 1,League,France
378,2015,2015-08-07,2016-06-03,National 1,League,France
379,2016,2016-08-05,2017-05-19,National 1,League,France
380,2011,2011-11-18,2012-04-28,Coupe de France,Cup,France
381,2012,2012-11-16,2013-05-31,Coupe de France,Cup,France
382,2013,2013-11-16,2014-05-03,Coupe de France,Cup,France
383,2014,2014-11-15,2015-05-30,Coupe de France,Cup,France
384,2015,2015-11-13,2016-05-21,Coupe de France,Cup,France
385,2016,2016-11-11,2017-05-27,Coupe de France,Cup,France
386,2017,2017-11-10,2018-05-08,Coupe de France,Cup,France
387,2018,2018-11-16,2019-04-27,Coupe de France,Cup,France
388,2019,2019-11-06,2020-07-24,Coupe de France,Cup,France
389,2020,2020-11-21,2021-05-19,Coupe de France,Cup,France
390,2021,2021-11-11,2022-05-08,Coupe de France,Cup,France
391,2022,2022-10-28,2022-11-20,Coupe de France,Cup,France
392,2011,2011-07-22,2012-04-14,Coupe de la Ligue,Cup,France
393,2012,2012-08-07,2013-04-20,Coupe de la Ligue,Cup,France
394,2013,2013-08-06,2014-04-19,Coupe de la Ligue,Cup,France
395,2014,2014-08-12,2015-04-11,Coupe de la Ligue,Cup,France
396,2015,2015-08-11,2016-04-23,Coupe de la Ligue,Cup,France
397,2016,2016-08-09,2017-04-01,Coupe de la Ligue,Cup,France
398,2017,2017-08-08,2018-03-31,Coupe de la Ligue,Cup,France
399,2018,2018-08-14,2019-03-30,Coupe de la Ligue,Cup,France
400,2019,2019-07-26,2020-07-31,Coupe de la Ligue,Cup,France
401,2011,2011-08-13,2012-06-02,National 2 - Group A,League,France
402,2012,2012-08-11,2013-05-25,National 2 - Group A,League,France
403,2013,2013-08-17,2014-05-24,National 2 - Group A,League,France
404,2014,2014-08-16,2015-05-23,National 2 - Group A,League,France
405,2015,2015-08-15,2016-06-04,National 2 - Group A,League,France
406,2016,2016-08-13,2017-05-20,National 2 - Group A,League,France
407,2011,2011-08-13,2012-06-02,National 2 - Group B,League,France
408,2012,2012-08-11,2013-03-13,National 2 - Group B,League,France
409,2013,2013-08-17,2014-05-24,National 2 - Group B,League,France
410,2014,2014-08-16,2015-05-23,National 2 - Group B,League,France
411,2015,2015-08-15,2016-06-04,National 2 - Group B,League,France
412,2016,2016-08-13,2017-05-20,National 2 - Group B,League,France
413,2011,2011-08-13,2012-06-02,National 2 - Group C,League,France
414,2012,2012-08-11,2013-05-25,National 2 - Group C,League,France
415,2013,2013-08-17,2014-05-24,National 2 - Group C,League,France
416,2014,2014-08-15,2015-05-23,National 2 - Group C,League,France
417,2015,2015-08-15,2016-06-04,National 2 - Group C,League,France
418,2016,2016-08-13,2017-05-20,National 2 - Group C,League,France
419,2011,2011-08-13,2012-06-02,National 2 - Group D,League,France
420,2012,2012-08-11,2013-05-25,National 2 - Group D,League,France
421,2013,2013-08-17,2014-05-24,National 2 - Group D,League,France
422,2014,2014-08-16,2015-05-23,National 2 - Group D,League,France
423,2015,2015-08-14,2016-06-04,National 2 - Group D,League,France
424,2016,2016-08-13,2017-05-20,National 2 - Group D,League,France
425,2011,2011-10-14,2012-02-13,Premier League,League,Egypt
426,2012,2013-02-02,2013-06-26,Premier League,League,Egypt
427,2013,2013-12-24,2014-07-07,Premier League,League,Egypt
428,2014,2014-09-15,2015-08-03,Premier League,League,Egypt
