playerID,seasonID,teamID,teamName,gamesAppearances,gamesLineups,gamesMinutes,gamesPosition,gamesCaptain,gamesRating,goalsTotal,goalsConceded,goalsAssists,goalsSaved,tacklesTotal,tacklesBlocks,tacklesInterceptions,foulsDrawn,foulsCommited,passesKey,passesTotal,passesAccuracy,duelsWon,duelsTotal,cardRed,cardYellow,cardYellowred,shotsTotal,shotsOn,dribblesAttempts,dribblesSuccess,dribblesPast,penaltyWon,penaltyCommited,penaltyScored,penaltyMissed,penaltySaved,substituesIn,substitutesOut,substitutesBench
1143,1,25,Germany,1,0,28,Defender,False,7.375000,0,0,1,,4,0,2,2,3,8,133,67,2,6,0,0,0,2,1,0,0,,,,0,0,,1,0,4
1157,1,775,Austria,4,4,338,Midfielder,False,6.955555,0,0,3,,18,1,8,8,22,12,341,68,16,40,0,0,0,8,3,13,10,,,,0,0,,0,4,0
1166,1,25,Germany,3,1,107,Attacker,False,6.716666,0,0,,,,0,1,0,3,2,72,65,0,1,0,0,0,18,8,5,4,,,,0,0,,2,1,3
501,1,25,Germany,4,4,333,Defender,False,6.900000,0,0,,,3,1,4,,1,1,115,52,7,13,0,0,0,1,,,,,,,0,0,,0,1,0
864,1,25,Germany,3,0,33,Midfielder,False,5.800000,0,0,,,1,0,0,2,5,1,138,63,1,3,0,0,0,3,0,1,1,,,,0,0,,3,0,4
249,1,1118,Netherlands,4,2,149,Attacker,False,7.000000,0,0,3,,1,0,0,4,4,10,99,51,5,16,0,0,0,9,3,11,5,,,,0,0,,2,2,2
25396,1,775,Austria,0,0,0,Goalkeeper,False,6.900000,0,1,,2,,0,0,0,0,0,17,100,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,4
2762,1,3,Croatia,3,1,112,Midfielder,False,6.740000,0,0,1,,7,0,2,5,4,6,190,65,20,39,0,0,0,14,5,22,15,,,,0,0,,2,1,3
2758,1,3,Croatia,0,0,0,Goalkeeper,False,6.400000,0,3,,6,,0,0,0,0,0,33,75,1,1,0,0,0,0,0,0,0,,,,0,0,0,0,0,4
28346,1,769,Hungary,3,1,97,Defender,False,6.481818,0,0,,,12,1,11,1,9,2,255,57,17,32,0,0,0,3,1,5,2,,,,0,0,,2,0,2
25638,1,25,Germany,0,0,0,Midfielder,False,,0,0,,,,,,,,,,,,,0,0,0,,,,,,,,0,0,,0,0,4
709,1,770,Czech Republic,1,1,90,Defender,False,6.820000,0,0,1,,3,1,6,5,3,8,146,67,15,20,0,0,0,1,0,3,3,,,1,0,0,,0,0,4
